编号,标题,链接,状态,创建日期,指派日期,指派者,创建者,解决者,解决方案,解决日期
77710,【生产环境-易订货2.0】生鲜导航消失,https://pms.dinghuo123.com/bug-view-77710.html,已关闭,2026-06-17 17:13:42,2026-06-18 10:13:30,未知用户,丁孟蝶,吴之赛,已解决,2026-06-17 19:37:57
77691,【生产环境2.0】【下单】阿拉小优    代下单提示“网络错误500”,https://pms.dinghuo123.com/bug-view-77691.html,已关闭,2026-06-15 13:58:47,2026-06-16 16:38:09,未知用户,刘璇,王勇圣,不是BUG,2026-06-16 11:49:33
77686,【生产环境-2.0】【PC管理端-权限】标准版购买拉新提成功能后，角色权限没有拉新提成相关的权限明细,https://pms.dinghuo123.com/bug-view-77686.html,已关闭,2026-06-15 10:40:19,2026-06-17 11:00:37,未知用户,梁丽芳,王伟豪,已解决,2026-06-17 10:29:13
