编号,标题,链接,状态,创建日期,指派日期,指派者,创建者,解决者,解决方案,解决日期
77724,【生产环境】【易订货2.0-PC端】（订单下了单  客户在商场自主作废订单  订单未审核 已付款 作废后 点击退款  报错：退款申请失败:订单状态不合法FULLY_PAY）,https://pms.dinghuo123.com/bug-view-77724.html,已解决,2026-06-18 15:42:29,2026-06-22 11:02:19,方全斌,方全斌,陈丰祥,外部原因,2026-06-22 11:01:41
77714,【生产环境-易订货2.0】APP管理端，订单列表扫码，打开就关不上了。,https://pms.dinghuo123.com/bug-view-77714.html,激活,2026-06-18 09:24:32,2026-06-18 09:48:38,李可柑,方全斌,,,0000-00-00 00:00:00
77702,【生产环境-2.0】【预售账户】逢时科技    客户要充值余额账户，默认是预售账户,https://pms.dinghuo123.com/bug-view-77702.html,已解决,2026-06-16 16:10:31,2026-06-22 10:46:08,李可柑,刘璇,李可柑,已解决,2026-06-22 10:45:54
77700,【生产环境】配置了易宝备用小程序支付提示：商户传入的appid参数不正确，请联系商户处理    易宝那边让我们这边检查,https://pms.dinghuo123.com/bug-view-77700.html,已关闭,2026-06-16 14:43:34,2026-06-18 08:36:04,未知用户,丁玲,孙瑶,不是BUG,2026-06-16 14:50:44
77698,【生产环境-2.0】【小程序-门店认证】易订货后台没有开通门店助手，但是订货端显示立即认证门店。,https://pms.dinghuo123.com/bug-view-77698.html,已解决,2026-06-16 10:35:27,2026-06-22 10:55:19,李可柑,梁丽芳,李可柑,已解决,2026-06-22 10:55:04
77695,【生产环境】【易订货2.0】【廊坊锦食坊】6.12新开的一个B2B商户号绑定之后无法支付，一直提示支付失败，也提示用户信息无效,https://pms.dinghuo123.com/bug-view-77695.html,已解决,2026-06-15 18:04:48,2026-06-17 16:14:08,丁玲,丁玲,陈丰祥,外部原因,2026-06-17 16:13:17
